user,image_a,image_b,filter_a,filter_b,intensity_a,intensity_b,selected_filter,selected_intensity,resptime
yes,Ocean_Clarendon_100.jpg,Ocean_Juno_25.jpg,Clarendon,Juno,100,25,Juno,25,1.613979
yes,Ocean_Lark_25.jpg,Ocean_Juno_100.jpg,Lark,Juno,25,100,Juno,100,2.343313
yes,Girl1_Lark_50.jpg,Girl1_Lark_25.jpg,Lark,Lark,50,25,Lark,25,2.654802
yes,Girl1_OG.jpg,Girl1_Lark_50.jpg,OG,Lark,0,50,Lark,50,3.595798
yes,Ocean_OG.jpg,Ocean_Lark_25.jpg,OG,Lark,0,25,OG,0,3.892354
yes,Ocean_Clarendon_75.jpg,Ocean_Juno_25.jpg,Clarendon,Juno,75,25,Juno,25,1.18021
yes,Girl1_Clarendon_75.jpg,Girl1_Juno_100.jpg,Clarendon,Juno,75,100,Clarendon,75,0.775755
yes,Girl1_Juno_25.jpg,Girl1_Lark_75.jpg,Juno,Lark,25,75,Juno,25,2.911952
yes,Ocean_Juno_50.jpg,Ocean_OG.jpg,Juno,OG,50,0,OG,0,1.173446
yes,Girl1_Clarendon_50.jpg,Girl1_Lark_25.jpg,Clarendon,Lark,50,25,Lark,25,1.275702
yes,Ocean_OG.jpg,Ocean_Juno_100.jpg,OG,Juno,0,100,OG,0,1.204088
yes,Ocean_Juno_75.jpg,Ocean_OG.jpg,Juno,OG,75,0,OG,0,3.012373
yes,Ocean_Clarendon_25.jpg,Ocean_Lark_75.jpg,Clarendon,Lark,25,75,Clarendon,25,2.234564
yes,Girl1_Lark_75.jpg,Girl1_Clarendon_25.jpg,Lark,Clarendon,75,25,Clarendon,25,2.905921
yes,Girl1_Lark_25.jpg,Girl1_Lark_100.jpg,Lark,Lark,25,100,Lark,25,8.082599
yes,Girl1_Juno_50.jpg,Girl1_OG.jpg,Juno,OG,50,0,OG,0,1.741169
yes,Ocean_Juno_75.jpg,Ocean_Juno_100.jpg,Juno,Juno,75,100,Juno,75,1.48953
yes,Girl1_OG.jpg,Girl1_Lark_75.jpg,OG,Lark,0,75,OG,0,1.74531
